Classifier,Accuracy,Recall,Precision,F1 Score,Type
SGDClassifier,0.7566107685160726,0.7757106413994169,0.7470955740409252,0.7611342547066923,test
KNNClassifier,0.7622036198682857,0.8074161807580175,0.7403923272289801,0.7724531064779303,test
DecisionTree,0.9531985826585172,0.9997266763848397,0.9145995865839834,0.955270397325626,test
LogisticRegression,0.7597533315722835,0.7823615160349854,0.7484442275175623,0.7650271276737908,test
RandomForestClassifier,0.9674630862701875,0.9996902332361516,0.939145468862337,0.9684725237868277,test
ExtraTreesClassifier,0.9740670231274423,0.9996537900874636,0.9509785227686387,0.9747088452415851,test
Guassian Naive Bayes Classifier,0.7126057768506964,0.6388848396501458,0.7492680841970296,0.6896877305138922,test
XGBoost Classifier,0.7807584052175656,0.8269132653061224,0.7569681906890627,0.7903963215508009,test
AdaBoostClassifier,0.9604128143701666,0.9997813411078718,0.9267930137495355,0.9619045949404814,test
Voting Classifier,0.7610559011868868,0.7928206997084548,0.7453916261221133,0.7683749514357362,test
ExtraTreesClassifier,0.9740670231274424,0.9996537900874636,0.9509785227686388,0.9747088452415852,test
RandomForestClassifier,0.9674630862701876,0.9996902332361516,0.939145468862337,0.9684725237868276,test
AdaBoostClassifier,0.9604128143701666,0.9997813411078718,0.9267930137495356,0.9619045949404814,test
DecisionTree,0.9531985826585172,0.9997266763848396,0.9145995865839834,0.955270397325626,test
XGBoost Classifier,0.7807584052175656,0.8269132653061224,0.7569681906890627,0.7903963215508009,test
KNNClassifier,0.7622036198682857,0.8074161807580175,0.7403923272289801,0.7724531064779303,test
Voting Classifier,0.7610559011868868,0.7928206997084548,0.7453916261221133,0.7683749514357362,test
LogisticRegression,0.7597533315722835,0.7823615160349854,0.7484442275175623,0.7650271276737908,test
SGDClassifier,0.7566107685160726,0.7757106413994169,0.7470955740409252,0.7611342547066923,test
Guassian Naive Bayes Classifier,0.7126057768506964,0.6388848396501458,0.7492680841970296,0.6896877305138922,test
Best XTree Classifier,0.9748321689150415,0.9996537900874636,0.9523652460723896,0.9754367248966529,GridSearch
ExtraTreesClassifier,0.9740670231274424,0.9996537900874636,0.9509785227686388,0.9747088452415852,test
RandomForestClassifier,0.9674630862701876,0.9996902332361516,0.939145468862337,0.9684725237868276,test
AdaBoostClassifier,0.9604128143701666,0.9997813411078718,0.9267930137495356,0.9619045949404814,test
DecisionTree,0.9531985826585172,0.9997266763848396,0.9145995865839834,0.955270397325626,test
XGBoost Classifier,0.7807584052175656,0.8269132653061224,0.7569681906890627,0.7903963215508009,test
KNNClassifier,0.7622036198682857,0.8074161807580175,0.7403923272289801,0.7724531064779303,test
Voting Classifier,0.7610559011868868,0.7928206997084548,0.7453916261221133,0.7683749514357362,test
LogisticRegression,0.7597533315722835,0.7823615160349854,0.7484442275175623,0.7650271276737908,test
SGDClassifier,0.7566107685160726,0.7757106413994169,0.7470955740409252,0.7611342547066923,test
